Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,TE aeróbico,Cadencia de carrera media,Cadencia de carrera máxima,Ritmo medio,Ritmo óptimo,Ascenso total,Descenso total,Longitud media de zancada,GAP medio,Normalized Power® (NP®),Training Stress Score®,Potencia media,Potencia máxima,Pasos,Repeticiones totales,Series totales,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Carrera,2025-11-13 18:35:58,false,"Bilbao Carrera","8.78","602","00:53:55","152","165","3.5","165","180","6:08","4:45","55","46","0.99","6:08","267","0.0","260","413","8,966","--","--","No","00:04:53.5","9","00:53:04","01:02:30","7","32"
Carrera,2025-11-06 18:11:26,false,"Bilbao - 10km a 5","10.01","678","00:55:13","167","180","4.2","173","183","5:31","4:31","14","13","1.05","5:34","287","0.0","283","366","9,538","--","--","No","00:00:01.7","11","00:54:48","00:56:15","-2","8"
Carrera,2025-11-04 18:45:24,false,"Bilbao - Tempo run","7.64","518","00:41:27","167","186","4.1","170","186","5:26","4:29","40","41","1.08","5:34","291","0.0","283","401","7,068","--","--","No","00:01:42.9","9","00:41:02","00:42:15","12","33"
Carrera,2025-10-28 17:59:25,false,"Bilbao - Series cortas","7.91","530","00:42:53","165","188","4.2","170","196","5:26","3:54","44","35","1.08","5:30","288","0.0","277","439","7,326","--","--","No","00:00:01.2","21","00:42:28","00:42:53","--","16"
Carrera,2025-10-24 17:35:42,false,"Bilbao Carrera","6.33","491","01:00:13","130","165","2.7","118","192","9:31","5:08","151","201","0.89","9:16","208","0.0","152","375","7,572","--","--","No","00:03:14.0","7","00:51:40","01:00:13","17","150"
Carrera,2025-10-21 13:18:06,false,"Bilbao - Trote muy suave","6.67","401","00:37:44","138","147","3.0","175","185","5:39","4:27","35","58","1.01","5:44","266","0.0","263","342","6,616","--","--","No","00:03:52.1","7","00:37:33","00:37:44","17","62"
Carrera,2025-10-18 19:10:17,false,"Bilbao - Carrera de medio maratón","21.63","1,381","01:47:49","169","189","5.0","179","192","4:59","2:53","78","91","1.12","5:02","302","0.0","298","543","19,232","--","--","No","00:00:31.0","23","01:47:43","01:47:49","6","35"
Carrera,2025-10-15 13:25:38,false,"Bilbao - Repeticiones: velocidad","5.18","318","00:27:06","147","170","3.3","173","198","5:14","3:53","34","45","1.11","5:24","280","0.0","273","423","4,764","--","--","No","00:00:30","24","00:27:04","00:27:06","15","56"
Carrera,2025-10-13 13:19:12,false,"Bilbao - Carrera mientras está cansado","13.94","925","01:20:44","154","176","4.2","160","173","5:48","4:35","65","85","1.08","5:51","279","0.0","270","371","12,922","--","--","No","00:02:00","16","01:19:02","01:20:44","5","50"
Entrenamiento en cinta,2025-10-09 20:11:04,false,"Entrenamiento en cinta","4.88","367","00:30:05","157","169","3.6","157","163","6:10","5:55","--","--","1.04","--","251","0.0","250","269","4,690","--","--","No","00:00:20.4","4","00:30:04","00:30:05","--","--"
Entrenamiento en cinta,2025-10-07 19:24:17,false,"Entrenamiento en cinta","3.50","241","00:21:17","152","182","3.2","156","176","6:05","4:41","--","--","1.01","--","252","0.0","241","341","3,330","102","13","No","00:00:54.0","3","00:20:36","00:22:44","--","--"
Carrera,2025-10-05 17:35:09,false,"Bilbao - Trote suave","4.22","251","00:28:06","124","135","2.2","164","171","6:39","5:26","11","47","0.92","6:50","228","0.0","224","311","4,610","--","--","No","00:02:00","5","00:28:06","00:28:06","17","58"
Entrenamiento en cinta,2025-09-30 18:53:24,false,"Entrenamiento en cinta","0.78","44","00:04:53.4","126","136","0.7","157","165","6:18","6:05","--","--","1.01","--","245","0.0","241","251","760","--","--","No","00:04:53.4","1","00:04:53","00:04:53.4","--","--"
Carrera,2025-09-16 18:06:41,false,"Bilbao - Trote suave","4.33","273","00:28:24","133","147","2.4","161","181","6:34","5:39","36","58","0.95","6:50","244","0.0","232","357","4,588","--","--","No","00:00:26","6","00:27:21","00:37:27","26","57"
Carrera,2025-09-12 17:14:27,false,"Bilbao - Carrera","17.54","1,095","01:41:47","143","160","4.0","168","188","5:48","4:45","83","108","1.03","5:51","272","0.0","264","347","17,130","--","--","No","00:00:14.6","21","01:39:26","01:41:48","5","51"
Carrera,2025-09-10 13:16:34,false,"Bilbao - Contrarreloj","8.14","467","00:43:27","113","167","3.3","168","194","5:20","3:40","44","60","1.11","5:24","289","0.0","275","488","7,360","--","--","No","00:00:02.3","16","00:42:58","00:43:27","12","54"
Carrera,2025-09-09 13:13:56,false,"Bilbao - Carrera mientras está cansado","12.28","696","01:05:13","144","176","3.8","169","182","5:19","4:12","56","93","1.11","5:24","280","0.0","274","387","11,072","--","--","No","00:00:55.0","15","01:04:47","01:05:13","14","60"
Carrera,2025-09-05 13:37:14,false,"Bilbao - Trote suave","7.38","438","00:42:32","139","154","3.2","164","184","5:46","4:45","44","53","1.06","5:50","266","0.0","261","344","6,964","--","--","No","00:01:57.2","10","00:42:20","00:42:32","32","58"
Carrera,2025-09-03 13:17:59,false,"Bilbao - Contrarreloj","10.01","611","00:56:50","155","190","4.0","161","184","5:41","3:23","51","86","1.09","5:47","277","0.0","261","469","9,096","--","--","No","00:01:53.0","17","00:56:32","00:59:17","12","62"
Carrera,2025-09-02 13:51:31,false,"Bilbao - Carrera mientras está cansado","11.65","719","01:08:03","152","185","4.0","163","176","5:50","4:15","46","68","1.05","5:56","257","0.0","251","361","11,074","--","--","No","00:00:04.0","15","01:07:30","01:08:03","13","40"
Carrera,2025-08-28 18:14:56,false,"Bilbao - Trote suave","7.20","464","00:43:19","149","167","3.4","161","169","6:01","5:14","55","45","1.04","6:02","257","0.0","253","346","6,926","--","--","No","00:00:44.0","10","00:43:17","00:43:19","9","29"
Carrera,2025-08-27 14:01:38,false,"Bilbao - Carrera mientras está cansado","8.13","527","00:49:10","150","175","3.4","159","187","6:03","4:41","58","63","1.04","6:03","259","0.0","256","379","7,824","--","--","No","00:02:00","9","00:49:01","00:49:10","32","52"
Carrera,2025-08-22 18:25:52,false,"Bilbao Carrera","5.98","383","00:28:19","181","194","4.5","170","187","4:44","3:56","34","40","1.24","4:44","325","0.0","322","413","4,038","--","--","No","00:00:01","7","00:28:19","00:28:19","6","17"
Carrera,2025-08-21 18:37:56,false,"Bilbao - Trote suave","5.65","358","00:33:11","148","164","3.1","157","167","5:52","4:41","38","69","1.08","5:56","270","0.0","266","365","5,192","--","--","No","00:01:52.0","7","00:33:08","00:33:11","8","55"
Carrera,2025-08-14 11:33:35,false,"Bilbao - Carrera","16.13","1,056","01:35:01","159","173","4.3","160","169","5:53","4:33","57","94","1.06","6:04","258","0.0","253","352","15,258","--","--","No","00:02:00","17","01:33:49","01:38:49","5","54"
Carrera,2025-08-13 13:26:41,false,"Bilbao - Contrarreloj","8.58","544","00:49:23","155","187","3.6","160","179","5:45","3:18","38","75","1.08","5:58","276","0.0","257","448","7,890","--","--","No","00:00:26.2","12","00:49:09","00:50:22","4","58"
Carrera,2025-08-06 19:55:36,false,"Bilbao - Repeticiones: velocidad","9.45","653","00:55:00","159","188","4.4","158","184","5:49","4:00","38","50","1.08","5:54","293","0.0","266","419","8,780","--","--","No","00:00:32.8","19","00:54:14","00:55:21","29","57"
Carrera,2025-08-05 08:35:20,false,"Bilbao - Carrera mientras está cansado","5.22","340","00:33:20","141","154","3.0","157","191","6:23","4:56","35","75","1.00","6:31","252","0.0","241","346","4,316","--","--","No","00:02:00","6","00:32:15","00:33:28","8","49"
Carrera,2025-08-03 14:07:14,false,"Bilbao - Carrera","13.20","867","01:24:00","149","160","3.7","161","185","6:22","4:50","45","134","0.98","6:29","247","0.0","243","330","13,474","--","--","No","00:00:02.2","15","01:22:55","01:39:44","6","109"
Carrera,2025-07-30 13:30:04,false,"Bilbao - Repeticiones: velocidad","8.24","561","00:47:47","157","187","4.1","158","225","5:48","3:59","35","36","1.08","5:59","288","0.0","262","425","7,562","--","--","No","00:00:01.7","19","00:47:01","00:48:46","4","21"
Carrera,2025-07-29 19:46:51,false,"Bilbao - Carrera mientras está cansado","8.44","565","00:48:31","158","182","3.9","159","181","5:45","3:52","52","58","1.09","5:50","281","0.0","275","397","7,596","--","--","No","00:00:17","11","00:48:15","00:48:31","3","20"
Carrera,2025-07-27 17:52:14,false,"Bilbao - Carrera","13.01","848","01:17:30","150","164","3.9","158","172","5:58","4:13","60","75","1.06","5:57","274","0.0","269","386","12,252","--","--","No","00:02:00","14","01:17:04","01:19:05","12","46"
Carrera,2025-07-25 10:09:58,false,"Carrera 2","1.28","77","00:08:55.7","138","151","3.2","149","169","7:00","5:52","9","4","0.96","7:31","211","0.0","198","266","1,346","--","--","No","00:01:58.8","2","00:08:36","00:09:34.0","3","11"
Carrera,2025-07-25 09:29:06,false,"Carrera 1","4.67","334","00:31:45","147","166","3.1","148","193","6:48","5:04","37","50","0.99","6:51","250","0.0","229","361","4,826","--","--","No","00:02:00","6","00:29:20","00:34:19","-1","20"
Carrera,2025-07-24 18:14:43,false,"Bilbao - Repeticiones: velocidad","6.36","429","00:37:04","156","187","3.7","157","182","5:50","3:49","31","35","1.09","5:50","289","0.0","269","430","5,848","--","--","No","00:01:30","16","00:36:52","00:37:04","11","27"
Carrera,2025-07-17 21:29:53,false,"Bilbao - Repeticiones: velocidad","5.31","365","00:31:03","158","185","3.6","153","217","5:51","3:40","28","26","1.11","5:52","287","0.0","264","463","4,788","--","--","No","00:00:35.0","18","00:30:49","00:31:03","12","27"
Carrera,2025-07-14 21:42:40,false,"Bilbao - Contrarreloj","3.30","217","00:19:31","150","189","3.0","155","215","5:55","4:04","19","20","1.08","5:57","284","0.0","265","404","3,016","--","--","No","00:00:02.1","6","00:19:19","00:19:31","16","26"
Carrera,2025-07-02 09:17:45,false,"Bilbao - Contrarreloj","4.09","259","00:22:03","155","189","3.2","161","186","5:24","3:56","17","20","1.14","5:29","300","0.0","279","395","3,592","--","--","No","00:02:01.0","6","00:22:01","00:22:03","13","26"
