name,activityType,startTimeLocal,locationName,duration,distance,elevationGain,elevationLoss,avgHr,maxHr,avgDoubleCadence,maxDoubleCadence,avgStrideLength,calories,bmrCalories,startLatitude,startLongitude
Santurce Carrera,running,1761599330000.0,Santurce,1257750.9765625,300363.9892578125,100.0,2800.0,155.0,185.0,156.5,181.0,91.5352385987627,791.91378,100.56047999999998,43.3259959705174,-3.0299259815365076
Santurce Carrera,running,1760561508000.0,Santurce,1761230.95703125,501424.0234375,400.0,4000.0,179.0,194.0,162.609375,236.0,105.0562095182347,1357.56648,138.27066,43.32566287368536,-3.030561162158847
Santurce Carrera,running,1760274099000.0,Santurce,1836130.0048828125,461939.990234375,3800.0,4000.0,170.0,188.0,164.046875,214.0,91.89707106652004,1294.71618,146.6507,43.32559288479388,-3.0303498543798923
Santurce Carrera,running,1760193422000.0,Santurce,3974381.103515625,900075.9765625,700.0,3600.0,170.0,190.0,160.6875,176.0,84.59654832917843,2505.6319599999997,314.25149999999996,43.325961604714394,-3.0284944362938404
Santurce Carrera,running,1759784418000.0,Santurce,1841832.03125,449879.00390625,200.0,5300.0,170.0,190.0,160.09375,176.0,91.54907107200484,1252.8159799999999,146.6507,43.326001670211554,-3.0303983855992556
Entrenamiento en cinta,treadmill_running,1758991176000.0,,1391396.97265625,384908.0078125,,,177.0,189.0,158.34375,233.0,104.82225328898498,1064.26508,108.94051999999999,,
Santurce Carrera,running,1758836654000.0,Santurce,312869.9951171875,56459.002685546875,3700.0,1400.0,145.0,168.0,123.96875,200.0,87.33902012214529,184.36087999999998,25.140119999999996,43.327244371175766,-3.026008866727352
Santurce Carrera,running,1757713372000.0,Santurce,1221578.9794921875,308765.9912109375,2000.0,2900.0,158.0,179.0,156.90625,176.0,95.86809784878453,825.4339399999999,96.37046,43.32587200216949,-3.029308319091797
Santurce Carrera,running,1757535674000.0,Santurce,1773362.060546875,500645.01953125,1400.0,5000.0,159.0,180.0,165.609375,190.0,102.34691871584157,1189.9656799999998,142.46068,43.326755203306675,-3.0297914519906044
Santurce Carrera,running,1757099987000.0,Santurce,3529868.896484375,801875.0,4500.0,2700.0,158.0,177.0,163.84375,176.0,83.18038333888525,2199.7605,280.73134,43.32687959074974,-3.027394227683544
