"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"AeR","Swim","10x100 AeR 30""","","1000","2025-01-13","soltar de ayer","1000","","",""," *01/13/2025 Ganix Pereda: Nado fatal! Se me caen las piernas y la técnica hay que practicarla mucho :) casi no aguanto 4 brazadas sin respirar. 😅*","0.334444444444444","0.80450522928399","","26","","123","135","","","0.309653418058472","0.99","12","9","0","0","0","0","0","","","","","","","","","","","","","","4","5"
"AeR 20-30'","Run","fácil que hoy estarás tieso del domingo","0.333333333333333","","2025-01-14","","4023.56005859375","","","","","0.375555545091629","3.04399991035461","","170","","149","160","","","1.18396682298042","56.74","0","1","2","16","3","1","0","","","","","","","","","","","","","","2","5"
"Day off","Day Off","","","","2025-01-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AeL1 45'","Run","rodar fácil","0.75","","2025-01-16","","8279.5","","",""," *01/16/2025 Ganix Pereda: Estoy cargadete de las piernas*","0.752222239971161","3.05200004577637","","168","","158","173","","","1.23092318433774","125.32","0","0","4","6","8","13","13","","","","","","","","","","","","","","3",""
"AeL1","Swim","400 estilos 5x200 palas-pull 100 suaves","","1500","2025-01-17","","1525","","","","","0.518611111111111","0.791385573430202","","25","","126","145","","","0.30452846325504","1.46","10","21","1","0","0","0","0","","","","","","","","","","","","","","4","3"
"Potencia 60%","Strength","4 series de 6 repeticiones con 3' de recuperación Ejercicios: Triceps Prensa Dorsal Sentadilla Lumbar Press banca Remo Isquio","0.75","","2025-01-17","","","","","","","0.762777805328369","","","","","87","115","","","0.575211982709185","27.5","45","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"AeM-AeIntenso 2h-2h30'","Bike","rodar 30' AeL1 15' haciendo 15"" muy fuertes cada 3' 2 subidas de 12' haciendo: 1ª 1' AeM+ 1' AeIntenso 2ª AeM recuperar la bajada rodar hasta completar","2","","2025-01-18","","64871.890625","","",""," *01/18/2025 Ganix Pereda: La vuelta las piernas venían resentidas*","2.64177107810974","6.82100009918213","","","","135","169","","","0.765319458293948","175.64","44","34","30","28","9","9","3","","","","","","","","","","","","","","5","5"
"AeR 1h30' ayunas","Bike","paseo en ayunas","1.5","","2025-01-19","","40341.640625","","","","","1.42165684700012","7.88199996948242","","","","135","161","","","0.749095346012174","89.16","12","33","27","12","1","0","0","","","","","","","","","","","","","","",""
"AeL1","Swim","300 calentar 2x [4x25 progresivas/5’’ 200 aletas] 100 suaves","","1000","2025-01-20","","1000","","","","","0.289722222222222","0.923361034164358","","27","","131","147","","","0.357452267825887","1.32","4","11","3","1","0","0","0","","","","","","","","","","","","","","4","5"
"AeM 60'","Run","15' calentar 4x100 progresivo/100 trote 10x400 AeM/recuperar lo mismo que el esfuerzo a trote Rodar hasta completar","1","","2025-01-21","","8432.580078125","","",""," *01/21/2025 Ganix Pereda: Se me ha apagado el reloj y lo había configurado mal. Progresiones de 100m entre 25’’-30’’. Series de 400m entre 1’40’’ y 1’50’’.*","0.873333334922791","3.07399988174438","","166","","153","180","","","1.15241916780108","113.29","2","2","7","14","3","4","14","","","","","","","","","","","","","","6","5"
