Activity Type,Date,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-02-28 17:31:40,4.01,448,00:29:01,151,172,169,187,7:14,5:30,92,79,1.32,0.0,00:02.83,5,00:28:46,00:29:50,606,651
Running,2024-02-27 17:59:37,1.60,165,00:10:37,152,171,170,187,6:39,4:43,23,13,1.43,0.0,03:48.05,2,00:10:29,00:14:04,604,631
Running,2024-02-20 16:56:48,4.01,477,00:28:26,161,179,169,185,7:05,6:09,72,46,1.35,0.0,00:03.46,5,00:28:25,00:28:26,606,654
Running,2024-02-15 17:11:05,6.04,733,00:46:14,155,168,173,183,7:39,6:54,85,56,1.22,0.0,00:18.38,7,00:46:11,00:46:14,606,652
Running,2024-02-14 07:53:37,3.02,373,00:22:20,159,175,176,185,7:23,6:48,75,39,1.24,0.0,00:08.06,4,00:22:19,00:22:20,606,667
Running,2024-02-13 07:58:07,2.01,230,00:14:09,156,176,171,193,7:02,5:19,59,20,1.34,0.0,00:03.01,3,00:14:07,00:14:15,606,663
Running,2024-02-11 14:21:25,4.01,431,00:29:30,147,162,172,185,7:21,6:42,102,82,1.27,0.0,00:05.05,5,00:29:26,00:29:30,605,667
Running,2024-02-08 17:04:49,2.01,232,00:14:58,152,170,171,183,7:27,6:52,56,13,1.27,0.0,00:03.62,3,00:14:57,00:14:58,606,664
Running,2024-02-06 07:48:54,2.01,244,00:14:30,163,178,170,189,7:14,6:03,69,26,1.31,0.0,00:02.17,3,00:14:30,00:14:30,607,672
Running,2024-02-03 10:56:43,6.43,479,00:31:43,151,165,168,189,4:56,1:05,154,102,1.95,0.0,01:17.26,7,00:31:21,00:32:16,424,494
Running,2024-01-31 08:11:46,4.01,508,00:29:48,165,183,171,231,7:26,6:09,95,59,1.27,0.0,00:04.85,5,00:29:45,00:29:48,605,657
Running,2024-01-28 13:25:11,2.01,242,00:14:57,156,171,172,183,7:25,6:22,72,23,1.26,0.0,00:05.40,3,00:14:51,00:14:57,604,678
Running,2024-01-26 07:38:27,2.01,250,00:14:58,161,175,172,185,7:26,6:17,56,30,1.26,0.0,00:05.35,3,00:14:50,00:14:58,612,656
Running,2024-01-23 08:06:30,2.01,240,00:14:42,156,171,171,183,7:19,6:36,75,46,1.29,0.0,00:02.41,3,00:14:41,00:14:42,606,658
Running,2024-01-19 14:33:58,1.24,170,00:10:20,158,172,158,189,8:20,6:29,62,33,1.22,0.0,01:40.00,2,00:10:19,00:10:20,606,663
Running,2024-01-11 07:56:01,2.01,240,00:14:01,164,182,175,193,6:58,6:27,43,20,1.32,0.0,00:03.72,3,00:13:59,00:14:01,604,640
Running,2023-12-26 10:21:34,1.64,168,00:11:15,146,168,172,187,6:51,6:14,66,26,1.36,0.0,04:07.60,2,00:11:14,00:11:15,648,710
Running,2023-12-24 12:43:16,5.01,552,00:37:37,147,167,172,183,7:31,6:33,299,167,1.25,0.0,00:02.97,6,00:37:24,00:37:48,701,850
Running,2023-12-20 07:26:13,4.02,455,00:28:37,155,171,174,187,7:07,5:52,108,49,1.3,0.0,00:05.90,5,00:28:32,00:28:43,606,685
Running,2023-12-18 07:49:50,3.03,334,00:21:30,153,171,172,186,7:06,5:09,69,36,1.32,0.0,00:09.98,4,00:21:29,00:21:30,606,667
Running,2023-12-16 11:29:06,5.01,556,00:36:37,153,167,173,189,7:18,6:13,105,69,1.27,0.0,00:03.35,6,00:36:30,00:36:45,606,655
Running,2023-12-11 07:56:56,3.01,347,00:20:47,164,182,175,187,6:54,6:00,79,36,1.33,0.0,00:03.47,4,00:20:41,00:20:56,606,671
Running,2023-12-09 09:30:31,2.30,274,00:16:16,164,175,175,191,7:04,5:29,36,49,1.3,0.0,01:53.33,3,00:16:10,00:16:19,628,655
Running,2023-12-09 09:09:11,2.80,323,00:20:57,154,170,173,185,7:29,7:09,82,39,1.25,0.0,05:57.60,3,00:20:51,00:21:08,606,659
Running,2023-12-08 07:58:50,2.01,220,00:13:59,158,181,174,191,6:58,5:45,75,23,1.33,0.0,00:02.09,3,00:13:54,00:13:59,598,654
Running,2023-12-06 07:48:43,3.05,349,00:21:12,164,184,174,187,6:57,6:07,98,62,1.33,0.0,00:17.29,4,00:21:10,00:21:19,606,677
Running,2023-12-05 17:25:38,2.01,223,00:14:23,159,176,163,241,7:09,5:46,36,7,1.38,0.0,00:04.87,3,00:14:18,00:19:05,606,650
Running,2023-11-27 17:26:25,2.26,263,00:16:14,161,176,169,187,7:12,5:03,82,23,1.32,0.0,01:37.61,3,00:16:13,00:16:14,589,656
Running,2023-11-23 11:24:53,5.51,611,00:40:59,152,170,172,185,7:26,6:44,220,177,1.26,0.0,03:36.78,6,00:40:48,00:40:59,642,804
Running,2023-11-19 13:53:16,4.01,460,00:29:13,157,181,171,195,7:17,5:05,75,49,1.29,0.0,00:04.50,5,00:29:11,00:29:20,680,726
Running,2023-11-05 09:00:26,3.04,349,00:21:50,159,179,174,187,7:11,3:24,95,46,1.32,0.0,00:07.89,4,00:21:43,00:25:22,606,663
Running,2023-11-03 17:04:11,5.02,608,00:36:16,165,183,175,185,7:14,6:30,98,75,1.27,0.0,00:05.02,6,00:36:08,00:36:18,606,654
Running,2023-10-28 07:20:02,13.22,"1,438",01:33:32,159,184,175,193,7:04,5:18,443,449,1.3,0.0,01:19.31,14,01:33:25,01:33:32,390,556
Running,2023-10-25 17:36:12,7.02,814,00:52:42,156,171,172,183,7:30,6:49,197,167,1.24,0.0,00:07.17,8,00:52:40,00:52:42,682,733
Running,2023-10-23 17:08:20,5.02,568,00:38:12,150,175,167,191,7:37,5:40,69,62,1.27,0.0,00:04.95,6,00:38:12,00:38:12,605,631
Running,2023-10-21 13:21:21,9.32,"1,113",01:08:30,161,181,176,187,7:21,6:07,266,230,1.23,0.0,02:18.02,10,01:08:17,01:08:30,678,753
Running,2023-10-21 13:20:46,0.01,--,00:00:05.4,88,90,148,148,12:41,9:25,--,--,0.86,0.0,00:05.36,1,00:00:05,00:00:05.4,692,692
